# Spatial-averaged data for fix xcnt_lo and group x_lo
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
  10 0.475 976.27 281.403
  11 0.525 980.1 285.27
  12 0.575 975.9 282.522
  13 0.625 979.69 280.811
  14 0.675 976.31 281.852
  15 0.725 980.45 280.621
  16 0.775 975.55 283.256
  17 0.825 979.1 285.832
  18 0.875 976.9 285.843
  19 0.925 978.17 279.724
  20 0.975 965.83 275.913
21160000 20
  1 0.025 966.15 281.337
  2 0.075 977.85 279.296
  3 0.125 976.66 282.245
  4 0.175 979.34 280.945
  5 0.225 976.43 283.219
  6 0.275 979.57 276.847
  7 0.325 976.6 278.772
  8 0.375 979.4 282.85
  9 0.425 976.46 285.453
  10 0.475 979.54 285.191
  11 0.525 976.64 285.404
  12 0.575 979.36 282.734
  13 0.625 976.22 281.957
  14 0.675 979.78 275.69
  15 0.725 975.71 283.33
  16 0.775 980.29 284.648
  17 0.825 976.06 282.759
  18 0.875 979.94 281.75
  19 0.925 976.88 277.41
  20 0.975 967.12 284.117
21170000 20
  1 0.025 967.35 279.037
  2 0.075 976.65 277.401
  3 0.125 980.31 278.069
  4 0.175 975.69 280.635
  5 0.225 980.27 280.644
  6 0.275 975.73 287.033
  7 0.325 980.14 283.26
  8 0.375 975.86 288.101
  9 0.425 980.18 282.3
  10 0.475 975.82 285.416
  11 0.525 980 277.994
  12 0.575 976 283.967
  13 0.625 980.11 279.273
  14 0.675 975.89 277.347
  15 0.725 980.56 279.219
  16 0.775 975.44 281.407
  17 0.825 979.7 280.392
  18 0.875 976.3 285.274
  19 0.925 978.1 281.536
  20 0.975 965.9 286.985
21180000 20
  1 0.025 965.65 277.755
  2 0.075 978.35 284.047
  3 0.125 977.17 281.997
  4 0.175 978.83 288.89
  5 0.225 976.58 280.886
  6 0.275 979.42 280.257
  7 0.325 976.62 282.591
  8 0.375 979.38 283.46
  9 0.425 976.47 283.458
  10 0.475 979.53 281.675
  11 0.525 976.3 279.11
  12 0.575 979.7 279.54
  13 0.625 975.67 280.11
  14 0.675 980.33 278.912
  15 0.725 976.04 277.67
  16 0.775 979.96 287.134
  17 0.825 975.82 281.015
  18 0.875 980.18 278.587
  19 0.925 977.01 281.014
  20 0.975 966.99 285.21
21190000 20
  1 0.025 967.17 277.64
  2 0.075 976.83 284.519
  3 0.125 979.51 286.455
  4 0.175 976.49 286.596
  5 0.225 979.65 284.949
  6 0.275 976.35 279.25
  7 0.325 979.42 285.161
  8 0.375 976.58 284.196
  9 0.425 979.6 281.307
  10 0.475 976.4 284.022
  11 0.525 979.24 277.818
  12 0.575 976.76 282.077
  13 0.625 979.02 272.285
  14 0.675 976.98 282.182
  15 0.725 979.06 283.014
  16 0.775 976.94 283.31
  17 0.825 978.11 278.338
  18 0.875 977.89 281.432
  19 0.925 977.66 279.935
  20 0.975 966.34 279.83
21200000 20
  1 0.025 966.09 280.397
  2 0.075 977.91 284.535
  3 0.125 977.41 286.211
  4 0.175 978.59 278.051
  5 0.225 976.3 282.436
  6 0.275 979.7 282.298
  7 0.325 976.75 282.538
  8 0.375 979.25 285.176
  9 0.425 976.65 279.252
  10 0.475 979.35 281.73
  11 0.525 976.35 285.153
  12 0.575 979.65 282.98
  13 0.625 976.42 278.643
  14 0.675 979.58 279.772
  15 0.725 976.32 280.15
  16 0.775 979.68 279.591
  17 0.825 976.4 283.647
  18 0.875 979.6 280.689
  19 0.925 976.76 281.157
  20 0.975 967.24 276.956
21210000 20
  1 0.025 966.45 280.848
  2 0.075 977.55 283.645
  3 0.125 978.69 287.713
  4 0.175 977.31 281.51
  5 0.225 979.29 282.291
  6 0.275 976.71 279.075
  7 0.325 978.71 282.046
  8 0.375 977.29 280.362
  9 0.425 978.68 284.268
  10 0.475 977.32 284.291
  11 0.525 978.58 283.964
  12 0.575 977.42 282.781
  13 0.625 978.57 283.08
  14 0.675 977.43 280.755
  15 0.725 978.07 284.229
  16 0.775 977.93 283.551
  17 0.825 977.82 278.286
  18 0.875 978.18 275.897
  19 0.925 977.66 278.406
  20 0.975 966.34 276.29
21220000 20
  1 0.025 966.1 280.974
  2 0.075 977.9 286.471
  3 0.125 977.24 279.579
  4 0.175 978.76 283.258
  5 0.225 976.43 283.579
  6 0.275 979.57 281.628
  7 0.325 976.43 283.063
  8 0.375 979.57 285.829
  9 0.425 976.14 287.808
  10 0.475 979.86 282.763
  11 0.525 976.49 280.139
  12 0.575 979.51 286.3
  13 0.625 976.72 283.031
  14 0.675 979.28 278.848
  15 0.725 976.74 276.511
  16 0.775 979.26 281.324
  17 0.825 976.92 281.052
  18 0.875 979.08 278.607
  19 0.925 976.71 276.981
  20 0.975 967.29 277.698
21230000 20
  1 0.025 967.39 284.664
  2 0.075 976.61 286.791
  3 0.125 979.4 284.238
  4 0.175 976.6 281.207
  5 0.225 979.31 282.443
  6 0.275 976.69 283.084
  7 0.325 978.74 281.346
  8 0.375 977.26 284.403
  9 0.425 979.01 285.077
  10 0.475 976.99 282.217
  11 0.525 979.44 280.896
  12 0.575 976.56 281.894
  13 0.625 979.32 282.507
  14 0.675 976.68 283.863
  15 0.725 978.94 283.189
  16 0.775 977.06 276.239
  17 0.825 977.87 278.718
  18 0.875 978.13 277.882
  19 0.925 977.89 279.264
  20 0.975 966.11 272.997
21240000 20
  1 0.025 966.09 278.403
  2 0.075 977.91 282.613
  3 0.125 978.26 282.894
  4 0.175 977.74 288.645
  5 0.225 977.53 287.938
  6 0.275 978.47 284.479
  7 0.325 976.99 283.882
  8 0.375 979.01 280.401
  9 0.425 976.6 282.567
  10 0.475 979.4 287.514
